Codigo_Producto,Grupo,Segmento,Margen_Venta,Rotacion_Stock,GMROI,Demanda_Trimestral,Stock_Actual,Reposicion_Sugerida_UNI,Peso_Total_Gramos
9528,ROUPA,B,52.27,2.142857142857143,1.982575672958785,2.1,0,3,870.0
9304,ROUPA,A,48.0,3.0,1.2401549386701098,0.6,0,1,182.0
12249,COMESTIVEIS,C,40.52,1.9411764705882353,1.1572806171648986,4.5,0,5,850.0
5682,PERFUMARIA,B,48.74,2.0,1.5963983050847457,4.5,0,5,1175.0
992,LOJA DE BRINQUEDOS,B,56.82,1.7099236641221374,2.035095885309998,11.1,2,10,3000.0
6637,ROUPA,A,54.8,4.0,4.399656946826758,0.6,0,1,650.0
106,COMESTIVEIS,A,47.95,2.855329475452679,0.8798279809079427,71.7,1,71,9230.0
9727,ROUPA,A,44.69,2.857142857142857,1.2586685159500692,2.1,0,3,558.0
9713,ROUPA,B,46.34,2.0,1.2307692307692308,2.1,1,2,364.0
6233,PERFUMARIA,C,40.51,1.9672131147540983,1.0330521513077617,10.8,0,11,1683.0
2266,COMESTIVEIS,C,17.19,4.928677563150074,1.012444279346211,58.5,1,58,8700.0
5718,PERFUMARIA,B,47.95,2.1176470588235294,1.584182733636252,4.5,0,5,1175.0
249,ROUPA,A,52.38,4.0,3.3624633431085043,0.6,0,1,500.0
5069,PERFUMARIA,C,28.62,3.0,1.0578231292517009,0.6,0,1,158.0
6644,ROUPA,A,54.8,4.0,4.349914236706689,0.6,0,1,650.0
6602,PERFUMARIA,B,45.09,2.0307692307692307,1.2019041861870938,4.5,0,5,900.0
4064,COMESTIVEIS,C,38.9,1.7211155378486054,1.0014678129586916,7.2,0,8,1200.0
9693,ROUPA,B,50.32,1.6666666666666667,1.533333333333333,2.1,1,2,460.0
9731,ROUPA,A,49.43,3.0,1.2397146648971467,0.6,0,1,186.0
309,BEBIDAS,B,54.84,1.8841761827079935,1.865344437766521,419.1,310,110,30800.0
7103,ROUPA,A,46.95,4.0,3.394800974817222,0.6,0,1,511.0
3772,PERFUMARIA,A,47.3,2.2471264367816093,1.6587517258968068,4.5,0,5,1250.0
3747,PERFUMARIA,A,47.84,2.857142857142857,2.1883203347917064,2.1,0,3,990.0
2791,COMESTIVEIS,B,48.21,1.739606126914661,1.323327853846654,13.5,0,14,2800.0
5651,PERFUMARIA,B,67.68,1.4210034278591461,1.1246791019305822,17.1,0,18,3060.0
10039,ROUPA,A,46.94,4.0,3.302628811777077,0.6,0,1,500.0
1033,LOJA DE BRINQUEDOS,B,47.95,1.6779661016949152,1.4507033428365552,4.5,2,3,660.0
4816,PERFUMARIA,B,59.42,1.2907801418439715,1.5216728647198683,11.1,4,8,1848.0
3771,PERFUMARIA,C,40.27,2.6218487394957983,1.4463159713224498,4.8,0,5,1100.0
1864,PERFUMARIA,A,46.82,3.0,2.103448275862069,2.1,0,3,960.0
10041,ROUPA,A,46.94,4.0,3.2841219768664565,0.6,0,1,500.0
222,ROUPA,A,52.84,4.0,3.2824770800899494,0.6,0,1,500.0
3561,PERFUMARIA,B,56.24,1.6666666666666667,1.6403755868544605,3.6,1,3,750.0
5680,PERFUMARIA,A,49.31,2.357142857142857,1.9971419975932614,4.5,0,5,1525.0
182,ROUPA,A,53.51,3.0,3.2730806608357623,0.6,0,1,500.0
247,ROUPA,A,53.45,4.0,3.2680304222397063,0.6,0,1,500.0
12261,COMESTIVEIS,C,42.07,1.0545799715234931,0.6513204679229337,67.8,43,25,2500.0
10055,ROUPA,A,47.25,4.0,3.254102999434069,0.6,0,1,500.0
5778,ACESSORIOS,B,54.05,1.0,0.6177931704247492,0.6,0,1,95.0
5847,ACESSORIOS,B,54.04,1.0,0.6177931704247492,0.6,0,1,95.0
5859,ACESSORIOS,B,54.01,1.0,0.6177931704247492,0.6,0,1,95.0
5881,ACESSORIOS,B,54.15,1.0,0.6177931704247492,0.6,0,1,95.0
5858,ACESSORIOS,C,-10.56,1.0,0.6177931704247492,0.6,0,1,95.0
225,ROUPA,A,52.49,4.0,3.2501254390366285,0.6,0,1,500.0
3753,PERFUMARIA,B,47.3,2.2,1.6226472838561592,4.2,0,5,1250.0
10043,ROUPA,A,46.94,4.0,3.2374342797055733,0.6,0,1,500.0
1849,PERFUMARIA,B,46.4,2.0869565217391304,1.4181081502259623,5.1,0,6,1320.0
6629,ROUPA,A,51.81,2.6666666666666665,2.63938520653218,0.6,0,1,410.0
5254,PERFUMARIA,B,47.04,2.1818181818181817,1.6063438119512887,4.5,0,5,1250.0
2280,COMESTIVEIS,C,30.56,2.772031076581576,1.025885767950141,71.4,55,17,2720.0
9303,ROUPA,A,47.03,3.0,1.1628643852978455,0.6,0,1,182.0
7105,ROUPA,A,46.95,4.0,3.255077173030057,0.6,0,1,511.0
949,LOJA DE BRINQUEDOS,C,37.11,3.0,1.6556291390728477,2.1,0,3,780.0
10040,ROUPA,A,46.94,4.0,3.181072555205047,0.6,0,1,500.0
9298,ROUPA,A,44.23,2.4,1.1576413959085439,2.1,0,3,546.0
281,ROUPA,A,52.64,4.0,3.1764035986789656,0.6,0,1,500.0
4071,COMESTIVEIS,C,37.88,2.0273972602739723,1.2059640372651772,10.8,0,11,2090.0
236,ROUPA,A,52.89,3.0,3.1529568697198753,0.6,0,1,500.0
9318,ROUPA,A,45.41,2.6666666666666665,1.1702519975414873,0.6,0,1,186.0
6173,PERFUMARIA,C,33.36,3.1630057803468206,1.1504456031050623,31.5,20,12,2196.0
4136,COMESTIVEIS,C,38.22,1.680104339577899,0.940391526668524,20.7,11,10,1500.0
10056,ROUPA,A,47.25,4.0,3.122807017543859,0.6,0,1,500.0
264,ROUPA,A,52.65,4.0,3.1200128184585805,0.6,0,1,500.0
6695,ROUPA,A,48.28,3.0,2.718045112781955,0.6,0,1,436.0
2267,COMESTIVEIS,C,17.19,4.55125284738041,0.9344138070394592,62.7,0,63,9450.0
7080,ROUPA,A,52.75,4.0,4.167539267015707,0.6,0,1,670.0
10069,ROUPA,A,46.83,4.0,3.1089309878213807,0.6,0,1,500.0
4062,COMESTIVEIS,C,40.64,1.4285714285714286,0.8699067255768286,4.5,2,3,420.0
238,ROUPA,A,53.51,3.0,3.0975056689342404,0.6,0,1,500.0
196,ROUPA,A,53.17,4.0,3.0973986690865094,0.6,0,1,500.0
4424,ACESSORIOS,B,57.18,1.0,0.6177931704247492,0.6,0,1,100.0
4273,ACESSORIOS,B,57.14,1.0,0.6177931704247492,0.6,0,1,100.0
6742,ROUPA,B,60.01,1.0,0.6177931704247492,0.6,0,1,100.0
39,LOJA DE BRINQUEDOS,C,42.63,1.6153846153846154,1.050200151465974,4.8,3,2,340.0
9117,ROUPA,B,59.99,1.875,2.4767645474137936,0.6,0,1,401.0
118,COMESTIVEIS,B,60.36,2.003777861730261,0.6149343001273044,13.5,0,14,1400.0
1030,LOJA DE BRINQUEDOS,C,39.09,2.739130434782609,1.6488500234233836,3.3,0,4,1080.0
4581,LOJA DE BRINQUEDOS,C,44.09,1.5384615384615385,1.0985317203804599,4.2,2,3,540.0
235,ROUPA,A,52.89,3.0,3.0502445531347266,0.6,0,1,500.0
1846,PERFUMARIA,A,46.84,2.6666666666666665,1.9500754673168466,2.1,0,3,960.0
87,COMESTIVEIS,C,33.56,1.2742759795570697,0.27382453151618397,27.6,10,18,810.0
8893,ROUPA,B,63.84,1.0,0.6177931704247492,0.6,0,1,102.0
3454,COMESTIVEIS,C,39.53,1.8278145695364238,0.7237725508106875,5.4,0,6,720.0
7106,ROUPA,A,46.95,4.0,3.0820471161657186,0.6,0,1,511.0
4800,PERFUMARIA,C,35.19,2.0172413793103448,0.8922605151364384,4.5,0,5,740.0
5049,COMESTIVEIS,B,49.44,1.7159460134966258,1.5070454084592058,33.6,1,33,8250.0
224,ROUPA,A,52.49,4.0,3.012622323074741,0.6,0,1,500.0
2913,PERFUMARIA,B,49.78,1.7777777777777777,1.4331423113658068,3.3,1,3,714.0
4832,PERFUMARIA,C,29.16,2.1869158878504673,0.7083386582786755,4.5,0,5,590.0
10042,ROUPA,A,46.94,4.0,2.996845425867508,0.6,0,1,500.0
8399,ROUPA,A,52.69,4.0,4.015683345780433,0.6,0,1,670.0
2731,COMESTIVEIS,C,33.81,1.2925260170293285,0.5975699337176699,39.6,29,11,1100.0
10159,ROUPA,C,33.43,3.0,1.3743482794577686,0.6,0,1,230.0
7848,ROUPA,A,49.01,4.0,3.7581427581427587,0.6,0,1,630.0
9305,ROUPA,A,48.05,2.6666666666666665,1.0852713178294575,0.6,0,1,182.0
308,BEBIDAS,B,53.54,1.753747301842277,1.6652488138959702,439.8,307,133,37240.0
481,BEBIDAS,C,34.14,3.369369369369369,1.6602507269173932,20.4,1,20,5600.0
228,ROUPA,A,53.36,3.0,2.961000349772648,0.6,0,1,500.0
2788,COMESTIVEIS,C,31.24,2.2755013077593724,0.976703095347163,19.2,12,8,1328.0
1717,PERFUMARIA,A,43.37,2.5,1.4686172267284667,2.1,0,3,750.0
7081,ROUPA,A,52.75,4.0,3.93492894540015,0.6,0,1,670.0
2780,COMESTIVEIS,C,43.9,1.9082568807339448,1.4084979255536727,5.4,0,6,1440.0
4016,COMESTIVEIS,C,38.54,2.5,1.553082191780822,6.0,0,6,1590.0
